record_id,year,quarter,facility_id,region_code,region_name,scope1_proxy_tco2e,method,data_status
EC-2021Q1-001,2021,1,MGB-FAC-001,R04A,CALABARZON,336.59,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-021,2021,1,MGB-FAC-021,R02,Cagayan Valley,690.83,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-022,2021,1,MGB-FAC-022,R06,Western Visayas,246.72,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-023,2021,1,MGB-FAC-023,R11,Davao Region,321.16,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-024,2021,1,MGB-FAC-024,CAR,Cordillera Administrative Region,1941.94,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-025,2021,1,MGB-FAC-025,MIMAROPA,MIMAROPA Region,355.37,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-026,2021,1,MGB-FAC-026,R09,Zamboanga Peninsula,371.9,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-027,2021,1,MGB-FAC-027,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,482.96,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-028,2021,1,MGB-FAC-028,R03,Central Luzon,3308.03,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-029,2021,1,MGB-FAC-029,R07,Central Visayas,453.47,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-030,2021,1,MGB-FAC-030,R12,SOCCSKSARGEN,135.16,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-031,2021,1,MGB-FAC-031,R01,Ilocos Region,2523.61,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-032,2021,1,MGB-FAC-032,R05,Bicol Region,338.38,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-033,2021,1,MGB-FAC-033,R10,Northern Mindanao,472.35,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-034,2021,1,MGB-FAC-034,NCR,National Capital Region,221.01,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-035,2021,1,MGB-FAC-035,R04A,CALABARZON,4997.34,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q1-036,2021,1,MGB-FAC-036,R08,Eastern Visayas,319.95,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-001,2021,2,MGB-FAC-001,R04A,CALABARZON,14.87,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-002,2021,2,MGB-FAC-002,R08,Eastern Visayas,315.23,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-003,2021,2,MGB-FAC-003,R13,Caraga,3633.54,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-004,2021,2,MGB-FAC-004,R02,Cagayan Valley,192.73,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-005,2021,2,MGB-FAC-005,R06,Western Visayas,322.87,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-006,2021,2,MGB-FAC-006,R11,Davao Region,246.28,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-007,2021,2,MGB-FAC-007,CAR,Cordillera Administrative Region,3979.58,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-008,2021,2,MGB-FAC-008,MIMAROPA,MIMAROPA Region,52.97,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-009,2021,2,MGB-FAC-009,R09,Zamboanga Peninsula,308.97,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-010,2021,2,MGB-FAC-010,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,5678.11,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-011,2021,2,MGB-FAC-011,R03,Central Luzon,381.1,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-012,2021,2,MGB-FAC-012,R07,Central Visayas,91.2,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-013,2021,2,MGB-FAC-013,R12,SOCCSKSARGEN,392.62,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-014,2021,2,MGB-FAC-014,R01,Ilocos Region,544.62,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-015,2021,2,MGB-FAC-015,R05,Bicol Region,483.9,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-016,2021,2,MGB-FAC-016,R10,Northern Mindanao,191.59,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-017,2021,2,MGB-FAC-017,NCR,National Capital Region,1401.58,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-018,2021,2,MGB-FAC-018,R04A,CALABARZON,346.05,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-019,2021,2,MGB-FAC-019,R08,Eastern Visayas,107.03,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-020,2021,2,MGB-FAC-020,R13,Caraga,93.15,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-021,2021,2,MGB-FAC-021,R02,Cagayan Valley,315.01,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-022,2021,2,MGB-FAC-022,R06,Western Visayas,528.69,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-023,2021,2,MGB-FAC-023,R11,Davao Region,272.33,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-024,2021,2,MGB-FAC-024,CAR,Cordillera Administrative Region,1015.25,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-025,2021,2,MGB-FAC-025,MIMAROPA,MIMAROPA Region,440.97,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-026,2021,2,MGB-FAC-026,R09,Zamboanga Peninsula,320.47,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-027,2021,2,MGB-FAC-027,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,53.65,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-028,2021,2,MGB-FAC-028,R03,Central Luzon,2923.82,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-029,2021,2,MGB-FAC-029,R07,Central Visayas,474.78,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-030,2021,2,MGB-FAC-030,R12,SOCCSKSARGEN,459.08,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-031,2021,2,MGB-FAC-031,R01,Ilocos Region,5687.2,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-032,2021,2,MGB-FAC-032,R05,Bicol Region,86.83,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-033,2021,2,MGB-FAC-033,R10,Northern Mindanao,202.65,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-034,2021,2,MGB-FAC-034,NCR,National Capital Region,259.75,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-035,2021,2,MGB-FAC-035,R04A,CALABARZON,4218.63,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q2-036,2021,2,MGB-FAC-036,R08,Eastern Visayas,388.85,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-001,2021,3,MGB-FAC-001,R04A,CALABARZON,529.26,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-002,2021,3,MGB-FAC-002,R08,Eastern Visayas,521.42,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-003,2021,3,MGB-FAC-003,R13,Caraga,3745.59,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-004,2021,3,MGB-FAC-004,R02,Cagayan Valley,152.72,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-005,2021,3,MGB-FAC-005,R06,Western Visayas,259.35,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-006,2021,3,MGB-FAC-006,R11,Davao Region,287.29,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-007,2021,3,MGB-FAC-007,CAR,Cordillera Administrative Region,3801.07,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-008,2021,3,MGB-FAC-008,MIMAROPA,MIMAROPA Region,99.84,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-009,2021,3,MGB-FAC-009,R09,Zamboanga Peninsula,107.34,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-010,2021,3,MGB-FAC-010,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,4579.01,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-011,2021,3,MGB-FAC-011,R03,Central Luzon,288.28,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-012,2021,3,MGB-FAC-012,R07,Central Visayas,187.84,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-013,2021,3,MGB-FAC-013,R12,SOCCSKSARGEN,436.62,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-014,2021,3,MGB-FAC-014,R01,Ilocos Region,1122.67,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-015,2021,3,MGB-FAC-015,R05,Bicol Region,355.8,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-016,2021,3,MGB-FAC-016,R10,Northern Mindanao,145.98,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-017,2021,3,MGB-FAC-017,NCR,National Capital Region,4695.83,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-018,2021,3,MGB-FAC-018,R04A,CALABARZON,477.43,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-019,2021,3,MGB-FAC-019,R08,Eastern Visayas,49.85,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-020,2021,3,MGB-FAC-020,R13,Caraga,444.04,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-021,2021,3,MGB-FAC-021,R02,Cagayan Valley,6092.49,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-022,2021,3,MGB-FAC-022,R06,Western Visayas,310.47,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-023,2021,3,MGB-FAC-023,R11,Davao Region,336,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-024,2021,3,MGB-FAC-024,CAR,Cordillera Administrative Region,2557.37,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-025,2021,3,MGB-FAC-025,MIMAROPA,MIMAROPA Region,386.78,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-026,2021,3,MGB-FAC-026,R09,Zamboanga Peninsula,526.05,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-027,2021,3,MGB-FAC-027,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,52.13,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-028,2021,3,MGB-FAC-028,R03,Central Luzon,2326.9,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-029,2021,3,MGB-FAC-029,R07,Central Visayas,244.9,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-030,2021,3,MGB-FAC-030,R12,SOCCSKSARGEN,74.78,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-031,2021,3,MGB-FAC-031,R01,Ilocos Region,2608.7,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-032,2021,3,MGB-FAC-032,R05,Bicol Region,432.21,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-033,2021,3,MGB-FAC-033,R10,Northern Mindanao,433.42,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-034,2021,3,MGB-FAC-034,NCR,National Capital Region,164.24,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-035,2021,3,MGB-FAC-035,R04A,CALABARZON,5870.15,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q3-036,2021,3,MGB-FAC-036,R08,Eastern Visayas,92.83,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-001,2021,4,MGB-FAC-001,R04A,CALABARZON,377.83,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-002,2021,4,MGB-FAC-002,R08,Eastern Visayas,477.03,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-003,2021,4,MGB-FAC-003,R13,Caraga,5544.76,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-004,2021,4,MGB-FAC-004,R02,Cagayan Valley,500.62,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-005,2021,4,MGB-FAC-005,R06,Western Visayas,195.49,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-006,2021,4,MGB-FAC-006,R11,Davao Region,513.85,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-007,2021,4,MGB-FAC-007,CAR,Cordillera Administrative Region,3725.92,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-008,2021,4,MGB-FAC-008,MIMAROPA,MIMAROPA Region,207.79,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-009,2021,4,MGB-FAC-009,R09,Zamboanga Peninsula,318.88,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-010,2021,4,MGB-FAC-010,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,4199.31,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-011,2021,4,MGB-FAC-011,R03,Central Luzon,255.87,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-012,2021,4,MGB-FAC-012,R07,Central Visayas,241.97,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-013,2021,4,MGB-FAC-013,R12,SOCCSKSARGEN,453.99,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-014,2021,4,MGB-FAC-014,R01,Ilocos Region,1860.89,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-015,2021,4,MGB-FAC-015,R05,Bicol Region,424.54,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-016,2021,4,MGB-FAC-016,R10,Northern Mindanao,93.06,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-017,2021,4,MGB-FAC-017,NCR,National Capital Region,1888.47,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-018,2021,4,MGB-FAC-018,R04A,CALABARZON,151.62,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-019,2021,4,MGB-FAC-019,R08,Eastern Visayas,527.06,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-020,2021,4,MGB-FAC-020,R13,Caraga,280.24,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-021,2021,4,MGB-FAC-021,R02,Cagayan Valley,3846.38,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-022,2021,4,MGB-FAC-022,R06,Western Visayas,498.79,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-023,2021,4,MGB-FAC-023,R11,Davao Region,342.45,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-024,2021,4,MGB-FAC-024,CAR,Cordillera Administrative Region,5374,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-025,2021,4,MGB-FAC-025,MIMAROPA,MIMAROPA Region,70.75,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-026,2021,4,MGB-FAC-026,R09,Zamboanga Peninsula,503.8,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-027,2021,4,MGB-FAC-027,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,194.56,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-028,2021,4,MGB-FAC-028,R03,Central Luzon,5781.38,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-029,2021,4,MGB-FAC-029,R07,Central Visayas,500.68,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-030,2021,4,MGB-FAC-030,R12,SOCCSKSARGEN,208.71,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-031,2021,4,MGB-FAC-031,R01,Ilocos Region,5646.66,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-032,2021,4,MGB-FAC-032,R05,Bicol Region,508.34,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-033,2021,4,MGB-FAC-033,R10,Northern Mindanao,329.4,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-034,2021,4,MGB-FAC-034,NCR,National Capital Region,493.94,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-035,2021,4,MGB-FAC-035,R04A,CALABARZON,929.84,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2021Q4-036,2021,4,MGB-FAC-036,R08,Eastern Visayas,35.09,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-001,2022,1,MGB-FAC-001,R04A,CALABARZON,23.84,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-002,2022,1,MGB-FAC-002,R08,Eastern Visayas,449.31,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-003,2022,1,MGB-FAC-003,R13,Caraga,4420.4,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-004,2022,1,MGB-FAC-004,R02,Cagayan Valley,280.87,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-005,2022,1,MGB-FAC-005,R06,Western Visayas,449.8,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-006,2022,1,MGB-FAC-006,R11,Davao Region,169.51,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-007,2022,1,MGB-FAC-007,CAR,Cordillera Administrative Region,5921.3,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-008,2022,1,MGB-FAC-008,MIMAROPA,MIMAROPA Region,383.21,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-009,2022,1,MGB-FAC-009,R09,Zamboanga Peninsula,441.07,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-010,2022,1,MGB-FAC-010,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,5561.64,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-011,2022,1,MGB-FAC-011,R03,Central Luzon,269.83,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-012,2022,1,MGB-FAC-012,R07,Central Visayas,211.3,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-013,2022,1,MGB-FAC-013,R12,SOCCSKSARGEN,241.2,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-014,2022,1,MGB-FAC-014,R01,Ilocos Region,3975.16,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-015,2022,1,MGB-FAC-015,R05,Bicol Region,262.49,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-016,2022,1,MGB-FAC-016,R10,Northern Mindanao,420.08,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-017,2022,1,MGB-FAC-017,NCR,National Capital Region,5958.65,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
EC-2022Q1-018,2022,1,MGB-FAC-018,R04A,CALABARZON,221.81,PoC proxy only: fuel activity × illustrative EF; not official inventory,SYNTHETIC_DERIVED
