record_id,year,facility_id,operator,region_code,region_name,commodity,production_volume,unit,production_value_php,report_basis,source_office,data_status
MP-2021-018,2021,MGB-FAC-018,Synthetic Mineral Operation 18,R04A,CALABARZON,Silica,308703.9,metric tonne,2227160858.95,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-019,2021,MGB-FAC-019,Synthetic Mineral Operation 19,R08,Eastern Visayas,Chromite,530872.7,metric tonne,4610704557.44,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-020,2021,MGB-FAC-020,Synthetic Mineral Operation 20,R13,Caraga,Aggregates,429433.3,metric tonne,659156237.09,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-021,2021,MGB-FAC-021,Synthetic Mineral Operation 21,R02,Cagayan Valley,Nickel ore,252284.9,metric tonne,1685504554.38,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-022,2021,MGB-FAC-022,Synthetic Mineral Operation 22,R06,Western Visayas,Gold ore,280927.8,metric tonne,4383622487.68,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-023,2021,MGB-FAC-023,Synthetic Mineral Operation 23,R11,Davao Region,Copper concentrate,91025.2,metric tonne,929442272.59,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-024,2021,MGB-FAC-024,Synthetic Mineral Operation 24,CAR,Cordillera Administrative Region,Limestone,29377.7,metric tonne,432274184.44,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-025,2021,MGB-FAC-025,Synthetic Mineral Operation 25,MIMAROPA,MIMAROPA Region,Silica,362339.4,metric tonne,3727150236.91,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-026,2021,MGB-FAC-026,Synthetic Mineral Operation 26,R09,Zamboanga Peninsula,Chromite,322446.8,metric tonne,5283250465.54,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-027,2021,MGB-FAC-027,Synthetic Mineral Operation 27,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Aggregates,183888.6,metric tonne,656530231.79,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-028,2021,MGB-FAC-028,Synthetic Mineral Operation 28,R03,Central Luzon,Nickel ore,637799.3,metric tonne,1665717792.15,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-029,2021,MGB-FAC-029,Synthetic Mineral Operation 29,R07,Central Visayas,Gold ore,786283.3,metric tonne,5314352803.04,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-030,2021,MGB-FAC-030,Synthetic Mineral Operation 30,R12,SOCCSKSARGEN,Copper concentrate,177090.8,metric tonne,1941648627.48,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-031,2021,MGB-FAC-031,Synthetic Mineral Operation 31,R01,Ilocos Region,Limestone,224931.9,metric tonne,1836123143.41,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-032,2021,MGB-FAC-032,Synthetic Mineral Operation 32,R05,Bicol Region,Silica,826361.1,metric tonne,7751123018.31,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-033,2021,MGB-FAC-033,Synthetic Mineral Operation 33,R10,Northern Mindanao,Chromite,389129,metric tonne,1660888555.02,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-034,2021,MGB-FAC-034,Synthetic Mineral Operation 34,NCR,National Capital Region,Aggregates,627438.6,metric tonne,2101993157.17,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-035,2021,MGB-FAC-035,Synthetic Mineral Operation 35,R04A,CALABARZON,Nickel ore,488541.4,metric tonne,3324508193.09,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2021-036,2021,MGB-FAC-036,Synthetic Mineral Operation 36,R08,Eastern Visayas,Gold ore,53492.6,metric tonne,233357429.56,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-001,2022,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,182359.6,metric tonne,3155990803.65,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-002,2022,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,389412.1,metric tonne,4541552883.37,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-003,2022,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,640189.1,metric tonne,2698625997.12,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-004,2022,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,353146.6,metric tonne,470799343.36,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-005,2022,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,47338.3,metric tonne,333226420.25,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-006,2022,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,232047,metric tonne,3987785010.41,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-007,2022,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,492547.9,metric tonne,8266343925.2,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-008,2022,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,371962.5,metric tonne,4371972792.26,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-009,2022,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,723902.1,metric tonne,8635920893.32,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-010,2022,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,847203.1,metric tonne,6230628252.99,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-011,2022,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,668348.2,metric tonne,4505071733.48,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-012,2022,MGB-FAC-012,Synthetic Mineral Operation 12,R07,Central Visayas,Chromite,198900.6,metric tonne,246410693.6,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-013,2022,MGB-FAC-013,Synthetic Mineral Operation 13,R12,SOCCSKSARGEN,Aggregates,37880.5,metric tonne,545277074.4,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-014,2022,MGB-FAC-014,Synthetic Mineral Operation 14,R01,Ilocos Region,Nickel ore,372084.9,metric tonne,3911751182.34,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-015,2022,MGB-FAC-015,Synthetic Mineral Operation 15,R05,Bicol Region,Gold ore,61531,metric tonne,96296527.65,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-016,2022,MGB-FAC-016,Synthetic Mineral Operation 16,R10,Northern Mindanao,Copper concentrate,767274.5,metric tonne,3573531636.15,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-017,2022,MGB-FAC-017,Synthetic Mineral Operation 17,NCR,National Capital Region,Limestone,721489,metric tonne,6429381327.53,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-018,2022,MGB-FAC-018,Synthetic Mineral Operation 18,R04A,CALABARZON,Silica,729720.8,metric tonne,11133654777.88,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-019,2022,MGB-FAC-019,Synthetic Mineral Operation 19,R08,Eastern Visayas,Chromite,897412.4,metric tonne,16147189257.6,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-020,2022,MGB-FAC-020,Synthetic Mineral Operation 20,R13,Caraga,Aggregates,11085.7,metric tonne,136836184.25,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-021,2022,MGB-FAC-021,Synthetic Mineral Operation 21,R02,Cagayan Valley,Nickel ore,490359.3,metric tonne,8553621591.01,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-022,2022,MGB-FAC-022,Synthetic Mineral Operation 22,R06,Western Visayas,Gold ore,222642.7,metric tonne,2649083190.88,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-023,2022,MGB-FAC-023,Synthetic Mineral Operation 23,R11,Davao Region,Copper concentrate,48311.7,metric tonne,542212893.51,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-024,2022,MGB-FAC-024,Synthetic Mineral Operation 24,CAR,Cordillera Administrative Region,Limestone,197842.6,metric tonne,296461790.83,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-025,2022,MGB-FAC-025,Synthetic Mineral Operation 25,MIMAROPA,MIMAROPA Region,Silica,165037.5,metric tonne,426541182.93,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-026,2022,MGB-FAC-026,Synthetic Mineral Operation 26,R09,Zamboanga Peninsula,Chromite,674342.9,metric tonne,9433979154.96,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-027,2022,MGB-FAC-027,Synthetic Mineral Operation 27,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Aggregates,573834.7,metric tonne,984460990.4,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-028,2022,MGB-FAC-028,Synthetic Mineral Operation 28,R03,Central Luzon,Nickel ore,758969.7,metric tonne,7399972829.23,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-029,2022,MGB-FAC-029,Synthetic Mineral Operation 29,R07,Central Visayas,Gold ore,455045.9,metric tonne,3216956123.36,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-030,2022,MGB-FAC-030,Synthetic Mineral Operation 30,R12,SOCCSKSARGEN,Copper concentrate,521395.9,metric tonne,6387333885.41,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-031,2022,MGB-FAC-031,Synthetic Mineral Operation 31,R01,Ilocos Region,Limestone,678805.4,metric tonne,1893326992.13,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-032,2022,MGB-FAC-032,Synthetic Mineral Operation 32,R05,Bicol Region,Silica,618692.7,metric tonne,1463885734.67,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-033,2022,MGB-FAC-033,Synthetic Mineral Operation 33,R10,Northern Mindanao,Chromite,71314,metric tonne,779749818.39,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-034,2022,MGB-FAC-034,Synthetic Mineral Operation 34,NCR,National Capital Region,Aggregates,773361.1,metric tonne,6866696762.82,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-035,2022,MGB-FAC-035,Synthetic Mineral Operation 35,R04A,CALABARZON,Nickel ore,675711.5,metric tonne,2536030032.62,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2022-036,2022,MGB-FAC-036,Synthetic Mineral Operation 36,R08,Eastern Visayas,Gold ore,618442.8,metric tonne,1727775270.71,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-001,2023,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,26873.4,metric tonne,181279074,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-002,2023,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,833741.9,metric tonne,5284291916.71,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-003,2023,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,136420.5,metric tonne,272911274.98,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-004,2023,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,118822.5,metric tonne,131201988.23,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-005,2023,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,575645.6,metric tonne,9810184394.32,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-006,2023,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,716432.3,metric tonne,4109433982.57,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-007,2023,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,427178,metric tonne,5978808131.83,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-008,2023,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,126379.9,metric tonne,2093103315.99,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-009,2023,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,433419.4,metric tonne,6110671145.81,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-010,2023,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,605586.8,metric tonne,3035040747.81,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-011,2023,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,585093.2,metric tonne,789667562.9,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-012,2023,MGB-FAC-012,Synthetic Mineral Operation 12,R07,Central Visayas,Chromite,293351.9,metric tonne,923412232.71,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-013,2023,MGB-FAC-013,Synthetic Mineral Operation 13,R12,SOCCSKSARGEN,Aggregates,76655.1,metric tonne,625104578.17,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-014,2023,MGB-FAC-014,Synthetic Mineral Operation 14,R01,Ilocos Region,Nickel ore,193466.2,metric tonne,2085364587.25,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-015,2023,MGB-FAC-015,Synthetic Mineral Operation 15,R05,Bicol Region,Gold ore,716601.5,metric tonne,962799232.68,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-016,2023,MGB-FAC-016,Synthetic Mineral Operation 16,R10,Northern Mindanao,Copper concentrate,94512.2,metric tonne,940141291.16,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-017,2023,MGB-FAC-017,Synthetic Mineral Operation 17,NCR,National Capital Region,Limestone,79975.5,metric tonne,1209751796.26,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-018,2023,MGB-FAC-018,Synthetic Mineral Operation 18,R04A,CALABARZON,Silica,267338.6,metric tonne,4622152649.11,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-019,2023,MGB-FAC-019,Synthetic Mineral Operation 19,R08,Eastern Visayas,Chromite,386013.7,metric tonne,2322609825.69,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-020,2023,MGB-FAC-020,Synthetic Mineral Operation 20,R13,Caraga,Aggregates,246186.5,metric tonne,4211708433.31,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-021,2023,MGB-FAC-021,Synthetic Mineral Operation 21,R02,Cagayan Valley,Nickel ore,399959.6,metric tonne,441940754.46,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-022,2023,MGB-FAC-022,Synthetic Mineral Operation 22,R06,Western Visayas,Gold ore,448847,metric tonne,6476087482.55,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-023,2023,MGB-FAC-023,Synthetic Mineral Operation 23,R11,Davao Region,Copper concentrate,803263.1,metric tonne,11827900569.96,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-024,2023,MGB-FAC-024,Synthetic Mineral Operation 24,CAR,Cordillera Administrative Region,Limestone,535511,metric tonne,3004548255.26,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-025,2023,MGB-FAC-025,Synthetic Mineral Operation 25,MIMAROPA,MIMAROPA Region,Silica,419475.6,metric tonne,4531853126.03,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-026,2023,MGB-FAC-026,Synthetic Mineral Operation 26,R09,Zamboanga Peninsula,Chromite,340757.2,metric tonne,4014967919.86,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-027,2023,MGB-FAC-027,Synthetic Mineral Operation 27,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Aggregates,730585.7,metric tonne,680897162.34,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-028,2023,MGB-FAC-028,Synthetic Mineral Operation 28,R03,Central Luzon,Nickel ore,890353.1,metric tonne,6963481024.7,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-029,2023,MGB-FAC-029,Synthetic Mineral Operation 29,R07,Central Visayas,Gold ore,898830,metric tonne,5495933341.71,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-030,2023,MGB-FAC-030,Synthetic Mineral Operation 30,R12,SOCCSKSARGEN,Copper concentrate,430213.4,metric tonne,1637438140.21,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-031,2023,MGB-FAC-031,Synthetic Mineral Operation 31,R01,Ilocos Region,Limestone,737060,metric tonne,2716786019.15,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-032,2023,MGB-FAC-032,Synthetic Mineral Operation 32,R05,Bicol Region,Silica,492612.8,metric tonne,4939433406.1,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-033,2023,MGB-FAC-033,Synthetic Mineral Operation 33,R10,Northern Mindanao,Chromite,76085.9,metric tonne,440230826.98,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-034,2023,MGB-FAC-034,Synthetic Mineral Operation 34,NCR,National Capital Region,Aggregates,349073.1,metric tonne,1247330962.76,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-035,2023,MGB-FAC-035,Synthetic Mineral Operation 35,R04A,CALABARZON,Nickel ore,192524.2,metric tonne,2922453582.83,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2023-036,2023,MGB-FAC-036,Synthetic Mineral Operation 36,R08,Eastern Visayas,Gold ore,333964.7,metric tonne,4795918728.5,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-001,2024,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,461622,metric tonne,7825125813.51,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-002,2024,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,248450.9,metric tonne,3005095393.74,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-003,2024,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,812243.7,metric tonne,7379327053.28,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-004,2024,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,865719.8,metric tonne,2837393262.71,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-005,2024,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,576971.4,metric tonne,3682328443.06,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
