year,region_psgc,region_code,sector,emissions_mtco2e,data_status,method
2020,PH130000000,NCR,Energy,6.106,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH010000000,I,LULUCF,-0.1,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH020000000,II,Energy,0.997,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH020000000,II,Transport,0.438,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH020000000,II,Agriculture,1.024,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH020000000,II,Waste,0.285,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH020000000,II,IPPU,0.207,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH020000000,II,LULUCF,-0.097,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH030000000,III,Energy,5.517,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH030000000,III,Transport,0.916,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH030000000,III,Agriculture,2.04,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH030000000,III,Waste,0.632,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH030000000,III,IPPU,0.383,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH030000000,III,LULUCF,-0.217,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH040000000,IV-A,Energy,5.931,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH040000000,IV-A,Transport,1.058,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH040000000,IV-A,Agriculture,1.555,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH040000000,IV-A,Waste,0.676,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH040000000,IV-A,IPPU,0.57,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH040000000,IV-A,LULUCF,-0.338,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH170000000,MIMAROPA,Energy,0.808,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH170000000,MIMAROPA,Transport,0.302,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH170000000,MIMAROPA,Agriculture,0.331,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH170000000,MIMAROPA,Waste,0.199,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH170000000,MIMAROPA,IPPU,0.148,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH170000000,MIMAROPA,LULUCF,-0.09,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH050000000,V,Energy,1.492,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH050000000,V,Transport,0.574,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH050000000,V,Agriculture,0.627,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH050000000,V,Waste,0.382,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH050000000,V,IPPU,0.251,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH050000000,V,LULUCF,-0.115,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH060000000,VI,Energy,1.657,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH060000000,VI,Transport,0.514,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH060000000,VI,Agriculture,1.288,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH060000000,VI,Waste,0.429,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH060000000,VI,IPPU,0.256,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH060000000,VI,LULUCF,-0.143,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH070000000,VII,Energy,2.122,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH070000000,VII,Transport,0.804,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH070000000,VII,Agriculture,0.785,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH070000000,VII,Waste,0.546,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH070000000,VII,IPPU,0.353,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH070000000,VII,LULUCF,-0.211,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH080000000,VIII,Energy,1.946,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH080000000,VIII,Transport,0.659,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH080000000,VIII,Agriculture,0.732,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH080000000,VIII,Waste,0.404,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH080000000,VIII,IPPU,0.334,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH080000000,VIII,LULUCF,-0.138,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH090000000,IX,Energy,1.876,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH090000000,IX,Transport,0.611,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH090000000,IX,Agriculture,0.865,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH090000000,IX,Waste,0.512,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH090000000,IX,IPPU,0.335,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH090000000,IX,LULUCF,-0.184,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH100000000,X,Energy,1.988,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH100000000,X,Transport,0.845,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH100000000,X,Agriculture,0.763,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH100000000,X,Waste,0.452,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH100000000,X,IPPU,0.287,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH100000000,X,LULUCF,-0.192,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH110000000,XI,Energy,1.615,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH110000000,XI,Transport,0.727,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH110000000,XI,Agriculture,0.807,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH110000000,XI,Waste,0.494,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH110000000,XI,IPPU,0.303,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH110000000,XI,LULUCF,-0.149,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH120000000,XII,Energy,2.32,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH120000000,XII,Transport,0.875,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH120000000,XII,Agriculture,1.91,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH120000000,XII,Waste,0.554,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH120000000,XII,IPPU,0.372,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH120000000,XII,LULUCF,-0.176,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH160000000,XIII,Energy,2.327,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH160000000,XIII,Transport,0.727,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH160000000,XIII,Agriculture,0.895,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH160000000,XIII,Waste,0.553,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH160000000,XIII,IPPU,0.363,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH160000000,XIII,LULUCF,-0.231,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH190000000,BARMM,Energy,0.994,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH190000000,BARMM,Transport,0.343,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH190000000,BARMM,Agriculture,0.773,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH190000000,BARMM,Waste,0.25,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH190000000,BARMM,IPPU,0.147,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2020,PH190000000,BARMM,LULUCF,-0.088,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH130000000,NCR,Energy,6.176,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH130000000,NCR,Transport,3.271,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH130000000,NCR,Agriculture,1.328,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH130000000,NCR,Waste,0.874,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH130000000,NCR,IPPU,0.49,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH130000000,NCR,LULUCF,-0.351,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH140000000,CAR,Energy,0.764,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH140000000,CAR,Transport,0.242,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH140000000,CAR,Agriculture,0.361,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH140000000,CAR,Waste,0.173,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH140000000,CAR,IPPU,0.14,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH140000000,CAR,LULUCF,-0.08,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH010000000,I,Energy,1.098,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH010000000,I,Transport,0.413,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH010000000,I,Agriculture,0.523,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH010000000,I,Waste,0.309,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH010000000,I,IPPU,0.168,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH010000000,I,LULUCF,-0.085,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH020000000,II,Energy,1.196,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH020000000,II,Transport,0.475,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH020000000,II,Agriculture,0.848,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH020000000,II,Waste,0.292,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH020000000,II,IPPU,0.185,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH020000000,II,LULUCF,-0.096,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH030000000,III,Energy,4.878,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH030000000,III,Transport,1.034,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH030000000,III,Agriculture,2.012,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH030000000,III,Waste,0.682,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH030000000,III,IPPU,0.48,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH030000000,III,LULUCF,-0.233,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH040000000,IV-A,Energy,5.496,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH040000000,IV-A,Transport,1.322,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH040000000,IV-A,Agriculture,1.457,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH040000000,IV-A,Waste,0.843,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH040000000,IV-A,IPPU,0.524,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH040000000,IV-A,LULUCF,-0.271,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH170000000,MIMAROPA,Energy,0.769,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH170000000,MIMAROPA,Transport,0.329,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH170000000,MIMAROPA,Agriculture,0.412,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH170000000,MIMAROPA,Waste,0.21,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH170000000,MIMAROPA,IPPU,0.116,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH170000000,MIMAROPA,LULUCF,-0.08,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH050000000,V,Energy,1.547,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH050000000,V,Transport,0.591,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH050000000,V,Agriculture,0.689,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH050000000,V,Waste,0.409,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH050000000,V,IPPU,0.218,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH050000000,V,LULUCF,-0.143,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH060000000,VI,Energy,1.463,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH060000000,VI,Transport,0.603,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH060000000,VI,Agriculture,1.171,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH060000000,VI,Waste,0.36,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH060000000,VI,IPPU,0.292,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH060000000,VI,LULUCF,-0.127,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH070000000,VII,Energy,2.277,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH070000000,VII,Transport,0.794,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH070000000,VII,Agriculture,0.987,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH070000000,VII,Waste,0.573,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH070000000,VII,IPPU,0.377,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH070000000,VII,LULUCF,-0.187,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH080000000,VIII,Energy,2.073,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH080000000,VIII,Transport,0.669,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH080000000,VIII,Agriculture,0.742,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH080000000,VIII,Waste,0.407,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH080000000,VIII,IPPU,0.314,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH080000000,VIII,LULUCF,-0.187,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH090000000,IX,Energy,2.123,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH090000000,IX,Transport,0.695,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH090000000,IX,Agriculture,0.815,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH090000000,IX,Waste,0.543,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH090000000,IX,IPPU,0.277,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH090000000,IX,LULUCF,-0.19,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH100000000,X,Energy,1.747,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH100000000,X,Transport,0.717,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH100000000,X,Agriculture,0.932,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH100000000,X,Waste,0.538,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH100000000,X,IPPU,0.376,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH100000000,X,LULUCF,-0.195,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH110000000,XI,Energy,1.646,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH110000000,XI,Transport,0.746,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH110000000,XI,Agriculture,0.679,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH110000000,XI,Waste,0.487,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH110000000,XI,IPPU,0.313,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH110000000,XI,LULUCF,-0.189,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH120000000,XII,Energy,2.155,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH120000000,XII,Transport,0.703,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH120000000,XII,Agriculture,1.708,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH120000000,XII,Waste,0.562,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH120000000,XII,IPPU,0.395,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH120000000,XII,LULUCF,-0.167,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH160000000,XIII,Energy,2.367,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH160000000,XIII,Transport,0.897,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH160000000,XIII,Agriculture,1.073,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH160000000,XIII,Waste,0.53,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH160000000,XIII,IPPU,0.367,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH160000000,XIII,LULUCF,-0.245,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH190000000,BARMM,Energy,0.863,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH190000000,BARMM,Transport,0.315,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH190000000,BARMM,Agriculture,0.63,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH190000000,BARMM,Waste,0.216,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH190000000,BARMM,IPPU,0.165,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2021,PH190000000,BARMM,LULUCF,-0.087,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH130000000,NCR,Energy,6.997,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH130000000,NCR,Transport,3.312,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH130000000,NCR,Agriculture,1.456,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH130000000,NCR,Waste,0.942,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH130000000,NCR,IPPU,0.652,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH130000000,NCR,LULUCF,-0.31,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH140000000,CAR,Energy,0.818,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH140000000,CAR,Transport,0.292,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH140000000,CAR,Agriculture,0.376,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH140000000,CAR,Waste,0.184,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH140000000,CAR,IPPU,0.107,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH140000000,CAR,LULUCF,-0.08,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH010000000,I,Energy,1.051,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH010000000,I,Transport,0.458,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH010000000,I,Agriculture,0.468,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH010000000,I,Waste,0.277,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH010000000,I,IPPU,0.17,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH010000000,I,LULUCF,-0.121,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH020000000,II,Energy,1.361,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH020000000,II,Transport,0.484,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH020000000,II,Agriculture,1.019,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH020000000,II,Waste,0.343,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH020000000,II,IPPU,0.213,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH020000000,II,LULUCF,-0.097,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH030000000,III,Energy,5.546,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH030000000,III,Transport,0.913,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH030000000,III,Agriculture,2.528,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH030000000,III,Waste,0.73,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH030000000,III,IPPU,0.472,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH030000000,III,LULUCF,-0.277,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH040000000,IV-A,Energy,6.98,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH040000000,IV-A,Transport,1.215,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH040000000,IV-A,Agriculture,1.551,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH040000000,IV-A,Waste,0.874,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH040000000,IV-A,IPPU,0.495,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH040000000,IV-A,LULUCF,-0.28,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH170000000,MIMAROPA,Energy,0.96,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH170000000,MIMAROPA,Transport,0.35,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH170000000,MIMAROPA,Agriculture,0.353,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH170000000,MIMAROPA,Waste,0.187,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
2022,PH170000000,MIMAROPA,IPPU,0.131,SYNTHETIC,PoC proxy calibrated to Philippine sector profile; not official inventory
