year,region_psgc,region_code,mean_temp_anomaly_c,rainfall_anomaly_pct,flood_risk_index,drought_risk_index,landslide_risk_index,cyclone_exposure_index,composite_climate_risk_index,data_status
2022,PH100000000,X,0.86,13.6,40.0,35.5,33.5,41.4,38.1,SYNTHETIC
2022,PH110000000,XI,0.87,4.1,40.2,56.4,52.7,33.4,44.5,SYNTHETIC
2022,PH120000000,XII,0.84,11.4,43.4,41.2,28.5,34.6,37.7,SYNTHETIC
2022,PH160000000,XIII,0.95,9.3,46.8,38.4,54.8,35.7,43.7,SYNTHETIC
2022,PH190000000,BARMM,0.97,11.3,51.1,36.5,34.2,26.7,38.2,SYNTHETIC
2023,PH130000000,NCR,1.19,4.9,41.4,52.2,31.5,32.0,39.4,SYNTHETIC
2023,PH140000000,CAR,0.89,11.7,61.2,42.8,48.4,56.9,53.5,SYNTHETIC
2023,PH010000000,I,0.8,5.7,66.1,34.8,22.7,54.2,47.4,SYNTHETIC
2023,PH020000000,II,1.06,14.0,62.5,25.6,21.5,82.2,51.3,SYNTHETIC
2023,PH030000000,III,1.19,5.6,57.8,35.0,39.4,48.2,46.6,SYNTHETIC
2023,PH040000000,IV-A,0.97,-0.5,58.6,49.6,34.2,63.2,53.0,SYNTHETIC
2023,PH170000000,MIMAROPA,1.01,-4.3,59.1,50.6,39.5,45.9,49.9,SYNTHETIC
2023,PH050000000,V,0.8,12.9,78.4,32.4,57.4,76.3,63.5,SYNTHETIC
2023,PH060000000,VI,0.93,-3.1,38.2,45.5,37.4,33.5,38.4,SYNTHETIC
2023,PH070000000,VII,0.97,8.0,42.2,43.6,31.3,28.1,36.7,SYNTHETIC
2023,PH080000000,VIII,0.8,14.1,78.4,24.9,51.9,83.5,62.6,SYNTHETIC
2023,PH090000000,IX,0.95,-4.4,50.4,39.6,33.8,38.9,41.7,SYNTHETIC
2023,PH100000000,X,1.07,12.8,40.4,46.1,33.7,40.4,40.3,SYNTHETIC
2023,PH110000000,XI,0.84,-4.4,37.9,36.1,67.9,35.2,42.8,SYNTHETIC
2023,PH120000000,XII,0.88,12.2,34.9,48.0,27.0,41.7,37.9,SYNTHETIC
2023,PH160000000,XIII,0.96,-3.9,54.3,57.8,54.5,42.4,52.0,SYNTHETIC
2023,PH190000000,BARMM,0.94,1.9,38.8,53.7,40.5,28.0,39.6,SYNTHETIC
2024,PH130000000,NCR,1.23,7.6,52.4,52.7,24.9,32.9,41.9,SYNTHETIC
2024,PH140000000,CAR,1.1,13.0,51.0,33.6,57.1,58.3,50.3,SYNTHETIC
2024,PH010000000,I,1.12,12.9,52.2,29.6,32.3,64.8,46.5,SYNTHETIC
2024,PH020000000,II,1.05,6.1,71.8,29.4,29.3,74.8,54.8,SYNTHETIC
2024,PH030000000,III,1.01,2.8,58.3,34.2,20.8,60.4,46.1,SYNTHETIC
2024,PH040000000,IV-A,1.01,12.4,61.1,27.9,26.3,58.2,46.1,SYNTHETIC
2024,PH170000000,MIMAROPA,1.04,2.0,62.9,37.1,34.3,54.2,49.2,SYNTHETIC
2024,PH050000000,V,1.05,13.3,82.6,33.1,61.9,84.5,68.1,SYNTHETIC
2024,PH060000000,VI,0.97,2.4,51.0,54.1,28.7,36.1,43.4,SYNTHETIC
2024,PH070000000,VII,1.07,5.8,42.6,39.3,35.6,34.6,38.4,SYNTHETIC
2024,PH080000000,VIII,1.07,11.8,71.7,36.3,57.5,90.5,66.0,SYNTHETIC
2024,PH090000000,IX,1.04,4.8,40.0,34.3,25.5,28.4,32.8,SYNTHETIC
2024,PH100000000,X,0.98,9.1,43.2,50.4,32.6,41.3,42.2,SYNTHETIC
2024,PH110000000,XI,1.14,6.6,42.3,40.1,57.4,29.6,41.5,SYNTHETIC
2024,PH120000000,XII,0.91,9.6,36.5,47.6,34.8,39.5,39.4,SYNTHETIC
2024,PH160000000,XIII,1.12,14.8,40.2,43.1,51.8,34.1,41.6,SYNTHETIC
2024,PH190000000,BARMM,0.95,1.4,37.9,36.4,37.4,39.4,37.9,SYNTHETIC
2025,PH130000000,NCR,1.31,6.9,54.7,51.2,38.8,35.3,45.7,SYNTHETIC
2025,PH140000000,CAR,0.96,3.3,55.1,25.7,65.6,64.6,53.2,SYNTHETIC
2025,PH010000000,I,1.09,2.5,53.4,35.7,37.4,59.4,47.9,SYNTHETIC
2025,PH020000000,II,0.95,3.0,73.8,43.5,39.8,70.2,59.4,SYNTHETIC
2025,PH030000000,III,1.36,10.0,55.1,40.7,20.9,47.1,43.0,SYNTHETIC
2025,PH040000000,IV-A,1.08,0.6,71.9,48.4,27.2,60.5,54.8,SYNTHETIC
2025,PH170000000,MIMAROPA,0.97,9.1,54.9,33.6,21.2,46.1,41.2,SYNTHETIC
2025,PH050000000,V,1.14,15.4,77.0,23.3,55.5,78.6,61.3,SYNTHETIC
2025,PH060000000,VI,1.23,12.8,34.8,46.0,27.6,31.5,35.0,SYNTHETIC
2025,PH070000000,VII,1.16,6.0,54.4,38.3,22.5,37.4,40.1,SYNTHETIC
2025,PH080000000,VIII,1.08,7.3,85.2,17.7,57.9,86.9,65.3,SYNTHETIC
2025,PH090000000,IX,1.22,0.0,50.1,48.6,21.7,31.3,39.2,SYNTHETIC
2025,PH100000000,X,1.09,14.1,46.2,36.4,27.0,30.9,36.2,SYNTHETIC
2025,PH110000000,XI,0.99,0.6,35.2,55.1,62.6,34.5,44.9,SYNTHETIC
2025,PH120000000,XII,1.21,3.9,38.3,52.2,37.6,37.7,41.1,SYNTHETIC
2025,PH160000000,XIII,1.16,-5.7,44.4,38.0,55.3,33.7,42.4,SYNTHETIC
2025,PH190000000,BARMM,1.04,2.2,39.6,53.3,36.5,40.8,42.3,SYNTHETIC
